,i,j,Lon,Lat,SL,UC,Code,Error
0,3316,2923,110.516666666667,-7.41666666666667,15.2056193550083,9.82058935500829,13,212
1,3317,2923,110.55,-7.41666666666667,22.8621296639531,17.3338796639385,13,212
2,3318,2923,110.583333333333,-7.41666666666667,30.4039680638546,24.7328680638546,13,212
3,3319,2923,110.616666666667,-7.41666666666667,28.6997077841778,22.8865477841778,13,212
4,3320,2923,110.65,-7.41666666666667,23.4996578240993,17.5456378241143,13,212
5,3321,2923,110.683333333333,-7.41666666666667,23.0941473469737,17.0008773469737,13,212
6,3322,2923,110.716666666667,-7.41666666666667,28.140796493939,21.910306493939,13,212
7,3323,2923,110.75,-7.41666666666667,35.895180045538,29.5299200455299,13,212
8,3324,2923,110.783333333333,-7.41666666666667,44.5439459588843,38.0467659588843,13,212
9,3325,2923,110.816666666667,-7.41666666666667,55.5263551927198,48.9005251927031,13,212
10,3326,2923,110.85,-7.41666666666667,71.4885698228715,64.7377598228715,13,212
11,3327,2923,110.883333333333,-7.41666666666667,88.751198923728,81.879448923728,13,212
12,3328,2923,110.916666666667,-7.41666666666667,101.21682734298,94.2285873429709,13,212
13,3329,2923,110.95,-7.41666666666667,109.94810482833,102.84817482833,13,212
14,3330,2923,110.983333333333,-7.41666666666667,122.100671356749,114.894221356749,13,212
15,3331,2923,111.016666666667,-7.41666666666667,141.23283501327,133.925375013236,13,212
16,3332,2923,111.05,-7.41666666666667,165.744101395685,158.341471395685,13,212
17,3333,2923,111.083333333333,-7.41666666666667,193.925779811569,186.434129811569,13,212
18,3334,2923,111.116666666667,-7.41666666666667,222.767548421045,215.193318421001,13,212
19,3335,2923,111.15,-7.41666666666667,243.150617599328,235.500537599328,13,212
20,3336,2923,111.183333333333,-7.41666666666667,248.632376932286,240.913416932295,13,212
21,3337,2923,111.216666666667,-7.41666666666667,242.512019634627,234.731389634652,13,212
22,3338,2923,111.25,-7.41666666666667,230.82639954236,222.99150954236,13,212
23,3339,2923,111.283333333333,-7.41666666666667,218.521163496425,210.639623496451,13,212
24,3340,2923,111.316666666667,-7.41666666666667,210.650025482273,202.729605482287,13,212
25,3341,2923,111.35,-7.41666666666667,210.98877081598,203.03738081598,13,212
26,3342,2923,111.383333333333,-7.41666666666667,218.749591980636,210.775261980621,13,212
27,3343,2923,111.416666666667,-7.41666666666667,230.438801451976,222.449631451976,13,212
28,3344,2923,111.45,-7.41666666666667,242.480196312583,234.484386312583,13,212
29,3345,2923,111.483333333333,-7.41666666666667,252.151605743134,244.157345743124,13,212
30,3346,2923,111.516666666667,-7.41666666666667,260.18803252835,252.20356252835,13,212
31,3347,2923,111.55,-7.41666666666667,269.596671495542,261.630211495542,13,212
32,3348,2923,111.583333333333,-7.41666666666667,280.906288595585,272.965998595568,13,212
33,3349,2923,111.616666666667,-7.41666666666667,292.915530673013,285.009520673013,13,212
34,3350,2923,111.65,-7.41666666666667,303.780474765263,295.916754765249,13,212
35,3351,2923,111.683333333333,-7.41666666666667,310.851982890747,303.038462890742,13,212
36,3352,2923,111.716666666667,-7.41666666666667,312.103259839453,304.347689839453,13,212
37,3353,2923,111.75,-7.41666666666667,307.133465120694,299.443445120711,13,212
38,3354,2923,111.783333333333,-7.41666666666667,297.92871912665,290.311639126651,13,212
39,3355,2923,111.816666666667,-7.41666666666667,289.749576098256,282.212636098256,13,212
40,3356,2923,111.85,-7.41666666666667,287.604383351479,280.154543351478,13,212
41,3357,2923,111.883333333333,-7.41666666666667,289.948137903207,282.592107903207,13,212
42,3358,2923,111.916666666667,-7.41666666666667,291.020430112618,283.764640112618,13,212
43,3359,2923,111.95,-7.41666666666667,287.546329079489,280.396919079501,13,212
44,3360,2923,111.983333333333,-7.41666666666667,280.765252129638,273.728062129638,13,212
45,3361,2923,112.016666666667,-7.41666666666667,274.033778849509,267.114318849508,13,212
46,3362,2923,112.05,-7.41666666666667,267.336207167655,260.539647167669,13,212
47,3363,2923,112.083333333333,-7.41666666666667,259.127296841965,252.458446841965,13,212
48,3364,2923,112.116666666667,-7.41666666666667,252.034108099853,245.497428099862,13,212
49,3365,2923,112.15,-7.41666666666667,250.273121103653,243.87269110365,13,212
50,3366,2923,112.183333333333,-7.41666666666667,255.029334572813,248.768844572813,13,212
51,3367,2923,112.216666666667,-7.41666666666667,265.146952015479,259.029702015456,13,212
52,3368,2923,112.25,-7.41666666666667,278.545565355078,272.574455355078,13,212
53,3369,2923,112.283333333333,-7.41666666666667,292.612301177487,286.789821177487,13,212
54,3370,2923,112.316666666667,-7.41666666666667,304.692980440805,299.021230440785,13,212
55,3371,2923,112.35,-7.41666666666667,313.925458822429,308.406128822429,13,212
56,3372,2923,112.383333333333,-7.41666666666667,321.943019994334,316.577379994334,13,212
57,3373,2923,112.416666666667,-7.41666666666667,330.058061888697,324.846981888681,13,212
58,3374,2923,112.45,-7.41666666666667,337.286873318062,332.230823318062,13,212
59,3375,2923,112.483333333333,-7.41666666666667,341.585908354477,336.684958354472,13,212
60,3376,2923,112.516666666667,-7.41666666666667,340.852017054495,336.1058270545,13,212
61,3377,2923,112.55,-7.41666666666667,333.636978680046,329.044848680046,13,212
62,3378,2923,112.583333333333,-7.41666666666667,320.687075618384,316.24790561841,13,212
63,3379,2923,112.616666666667,-7.41666666666667,304.206496688283,299.918836688313,13,212
64,3380,2923,112.65,-7.41666666666667,286.540618053615,282.402638053615,13,212
65,3381,2923,112.683333333333,-7.41666666666667,270.910970032191,266.920510032214,13,212
66,3382,2923,112.716666666667,-7.41666666666667,259.397075766043,255.551655766043,13,212
67,3383,2923,112.75,-7.41666666666667,251.426027746487,247.722827746487,13,212
68,3384,2923,112.783333333333,-7.41666666666667,245.257639959876,241.693539959884,13,212
69,3385,2923,112.816666666667,-7.41666666666667,238.255808921355,234.763792575314,13,212
70,3386,2923,112.85,-7.41666666666667,228.157091466893,224.484828843275,13,212
71,3387,2923,112.883333333333,-7.41666666666667,215.069326172341,210.787546626113,13,212
72,3388,2923,112.916666666667,-7.41666666666667,202.545101298885,197.144847501892,13,212
73,3389,2923,112.95,-7.41666666666667,193.891135309503,187.229988071883,13,212
74,3390,2923,112.983333333333,-7.41666666666667,189.331391422539,181.869027143876,13,212
75,3391,2923,113.016666666667,-7.41666666666667,189.817400094921,180.774814275858,13,212
76,3392,2923,113.05,-7.41666666666667,195.082226575117,183.024673252093,13,212
77,3393,2923,113.083333333333,-7.41666666666667,202.211483747335,187.927891880015,13,212
78,3394,2923,113.116666666667,-7.41666666666667,211.896205232725,195.726027564396,13,212
79,3395,2923,113.15,-7.41666666666667,223.223707049949,204.923192791671,13,212
80,3396,2923,113.183333333333,-7.41666666666667,233.130734178256,213.214267092725,13,212
81,3316,2922,110.516666666667,-7.38333333333334,20.8100618539912,15.4840118539912,13,212
82,3317,2922,110.55,-7.38333333333334,24.7834083875755,19.3114383875702,13,212
83,3318,2922,110.583333333333,-7.38333333333334,29.6959659354607,24.0782559354607,13,212
84,3319,2922,110.616666666667,-7.38333333333334,31.6827521195488,25.9199121195488,13,212
85,3320,2922,110.65,-7.38333333333334,33.0477454765658,27.1408154765706,13,212
86,3321,2922,110.683333333333,-7.38333333333334,34.6488300921455,28.5992600921455,13,212
87,3322,2922,110.716666666667,-7.38333333333334,37.1330389701068,30.9427289701068,13,212
88,3323,2922,110.75,-7.38333333333334,41.8264661086299,35.4977061086265,13,212
89,3324,2922,110.783333333333,-7.38333333333334,49.2787874182891,42.8143174182891,13,212
90,3325,2922,110.816666666667,-7.38333333333334,60.8716961186502,54.2746761186317,13,212
91,3326,2922,110.85,-7.38333333333334,77.8257112974855,71.0996912974855,13,212
92,3327,2922,110.883333333333,-7.38333333333334,96.4658031674042,89.6147631674042,13,212
93,3328,2922,110.916666666667,-7.38333333333334,111.047312497061,104.075612497047,13,212
94,3329,2922,110.95,-7.38333333333334,122.498506935392,115.410876935392,13,212
95,3330,2922,110.983333333333,-7.38333333333334,137.758053543494,130.559613543494,13,212
96,3331,2922,111.016666666667,-7.38333333333334,159.397774018079,152.093994018042,13,212
97,3332,2922,111.05,-7.38333333333334,184.789204717719,177.385894717719,13,212
98,3333,2922,111.083333333333,-7.38333333333334,211.632233296778,204.135533296778,13,212
99,3334,2922,111.116666666667,-7.38333333333334,235.770834276566,228.187184276535,13,212
100,3335,2922,111.15,-7.38333333333334,250.694529475568,243.030659475568,13,212
101,3336,2922,111.183333333333,-7.38333333333334,253.220573114687,245.4834731147,13,212
102,3337,2922,111.216666666667,-7.38333333333334,246.018746203999,238.215656204025,13,212
103,3338,2922,111.25,-7.38333333333334,234.559923271168,226.698323271168,13,212
104,3339,2922,111.283333333333,-7.38333333333334,224.380445943548,216.467975943569,13,212
105,3340,2922,111.316666666667,-7.38333333333334,219.638309437898,211.682829437906,13,212
106,3341,2922,111.35,-7.38333333333334,220.994429144208,213.003909144208,13,212
107,3342,2922,111.383333333333,-7.38333333333334,226.251356137661,218.233926137655,13,212
108,3343,2922,111.416666666667,-7.38333333333334,233.07435111288,225.03822111288,13,212
109,3344,2922,111.45,-7.38333333333334,239.36547331841,231.31892331841,13,212
110,3345,2922,111.483333333333,-7.38333333333334,243.844771456074,235.796151456072,13,212
111,3346,2922,111.516666666667,-7.38333333333334,248.26831776597,240.22596776597,13,212
112,3347,2922,111.55,-7.38333333333334,255.09493642707,247.06721642707,13,212
113,3348,2922,111.583333333333,-7.38333333333334,264.005042308655,256.000262308641,13,212
114,3349,2922,111.616666666667,-7.38333333333334,273.503745593152,265.530175593152,13,212
115,3350,2922,111.65,-7.38333333333334,282.211932131256,274.277732131245,13,212
116,3351,2922,111.683333333333,-7.38333333333334,287.641911154615,279.755151154613,13,212
117,3352,2922,111.716666666667,-7.38333333333334,287.825235413872,279.993855413872,13,212
118,3353,2922,111.75,-7.38333333333334,284.292833344588,276.524593344598,13,212
119,3354,2922,111.783333333333,-7.38333333333334,279.568118119794,271.870598119794,13,212
120,3355,2922,111.816666666667,-7.38333333333334,274.967785668414,267.348365668414,13,212
121,3356,2922,111.85,-7.38333333333334,271.46524482777,263.931074827777,13,212
122,3357,2922,111.883333333333,-7.38333333333334,269.192323736269,261.750313736269,13,212
123,3358,2922,111.916666666667,-7.38333333333334,266.858535770763,259.515295770763,13,212
124,3359,2922,111.95,-7.38333333333334,262.477105100336,255.238995100348,13,212
125,3360,2922,111.983333333333,-7.38333333333334,256.10615856158,248.97919856158,13,212
126,3361,2922,112.016666666667,-7.38333333333334,250.168752194921,243.158642194921,13,212
127,3362,2922,112.05,-7.38333333333334,244.714508650497,237.826628650508,13,212
128,3363,2922,112.083333333333,-7.38333333333334,239.130243870161,232.369603870161,13,212
129,3364,2922,112.116666666667,-7.38333333333334,236.590131319398,229.961381319397,13,212
130,3365,2922,112.15,-7.38333333333334,240.375415897664,233.882825897651,13,212
131,3366,2922,112.183333333333,-7.38333333333334,249.738176020127,243.385626020127,13,212
132,3367,2922,112.216666666667,-7.38333333333334,261.506066819953,255.29704681993,13,212
133,3368,2922,112.25,-7.38333333333334,272.829797468413,266.767397468413,13,212
134,3369,2922,112.283333333333,-7.38333333333334,282.825132472896,276.912032472896,13,212
135,3370,2922,112.316666666667,-7.38333333333334,292.49097715001,286.729437149991,13,212
136,3371,2922,112.35,-7.38333333333334,302.061425741936,296.453305741936,13,212
137,3372,2922,112.383333333333,-7.38333333333334,310.885576907207,305.432326907207,13,212
138,3373,2922,112.416666666667,-7.38333333333334,316.998667175149,311.701317175141,13,212
139,3374,2922,112.45,-7.38333333333334,319.109534979478,313.968704979478,13,212
140,3375,2922,112.483333333333,-7.38333333333334,318.35460659135,313.370506591352,13,212
141,3376,2922,112.516666666667,-7.38333333333334,314.750567294256,309.923017294264,13,212
142,3377,2922,112.55,-7.38333333333334,307.148750301297,302.477170301297,13,212
143,3378,2922,112.583333333333,-7.38333333333334,296.442621217519,291.926051217538,13,212
144,3379,2922,112.616666666667,-7.38333333333334,284.739311833434,280.376411833454,13,212
145,3380,2922,112.65,-7.38333333333334,273.83562458977,269.62470458977,13,212
146,3381,2922,112.683333333333,-7.38333333333334,265.416111516213,261.355101516223,13,212
147,3382,2922,112.716666666667,-7.38333333333334,259.637721810909,255.724221810909,13,212
148,3383,2922,112.75,-7.38333333333334,255.130990411287,251.362290411287,13,212
149,3384,2922,112.783333333333,-7.38333333333334,250.249291314664,246.622351314672,13,212
150,3385,2922,112.816666666667,-7.38333333333334,243.03990060197,239.505264401806,13,212
151,3386,2922,112.85,-7.38333333333334,231.938006430727,228.320178269861,13,212
152,3387,2922,112.883333333333,-7.38333333333334,217.829792624141,213.856297135059,13,212
153,3388,2922,112.916666666667,-7.38333333333334,204.818047393052,200.166612602249,13,212
154,3389,2922,112.95,-7.38333333333334,197.215417216732,191.563066172328,13,212
155,3390,2922,112.983333333333,-7.38333333333334,195.306692507838,188.64795338707,13,212
156,3391,2922,113.016666666667,-7.38333333333334,198.088974046434,190.023975197162,13,212
157,3392,2922,113.05,-7.38333333333334,205.139744365306,194.519026407222,13,212
158,3393,2922,113.083333333333,-7.38333333333334,213.584387692663,200.753093719064,13,212
159,3394,2922,113.116666666667,-7.38333333333334,222.066703686783,208.094571587371,13,212
160,3395,2922,113.15,-7.38333333333334,229.64824366543,215.380727532135,13,212
161,3316,2921,110.516666666667,-7.35000000000001,17.7137948509882,12.4606748509882,13,212
162,3317,2921,110.55,-7.35000000000001,19.2833862891415,13.8819662891402,13,212
163,3318,2921,110.583333333333,-7.35000000000001,22.7930970843323,17.2433670843323,13,212
164,3319,2921,110.616666666667,-7.35000000000001,28.0186601376181,22.3210501376181,13,212
165,3320,2921,110.65,-7.35000000000001,36.7687544164148,30.9241344164057,13,212
166,3321,2921,110.683333333333,-7.35000000000001,43.0371085197987,37.0467785197987,13,212
167,3322,2921,110.716666666667,-7.35000000000001,45.3118149816972,39.1775149816972,13,212
168,3323,2921,110.75,-7.35000000000001,47.7956553563031,41.519555356304,13,212
169,3324,2921,110.783333333333,-7.35000000000001,53.3253728528147,46.9100728528147,13,212
170,3325,2921,110.816666666667,-7.35000000000001,63.782879519304,57.2314095192869,13,212
171,3326,2921,110.85,-7.35000000000001,80.4127910481121,73.7286010481121,13,212
172,3327,2921,110.883333333333,-7.35000000000001,100.552233083132,93.7392030831316,13,212
173,3328,2921,110.916666666667,-7.35000000000001,119.089831927852,112.152241927829,13,212
174,3329,2921,110.95,-7.35000000000001,135.353828073714,128.296358073714,13,212
175,3330,2921,110.983333333333,-7.35000000000001,154.059090799443,146.886780799443,13,212
176,3331,2921,111.016666666667,-7.35000000000001,176.549122472398,169.267402472362,13,212
177,3332,2921,111.05,-7.35000000000001,199.289007337104,191.903637337104,13,212
178,3333,2921,111.083333333333,-7.35000000000001,219.601393818678,212.118493818678,13,212
179,3334,2921,111.116666666667,-7.35000000000001,235.456746924577,227.88276692456,13,212
180,3335,2921,111.15,-7.35000000000001,244.132041677639,236.473681677639,13,212
181,3336,2921,111.183333333333,-7.35000000000001,243.17300948323,235.437299483248,13,212
182,3337,2921,111.216666666667,-7.35000000000001,234.56200833349,226.756198333516,13,212
183,3338,2921,111.25,-7.35000000000001,224.489826785777,216.621426785777,13,212
184,3339,2921,111.283333333333,-7.35000000000001,218.705053217576,210.781763217586,13,212
185,3340,2921,111.316666666667,-7.35000000000001,219.081005808248,211.110725808247,13,212
186,3341,2921,111.35,-7.35000000000001,222.412194957868,214.402974957868,13,212
187,3342,2921,111.383333333333,-7.35000000000001,224.658804788319,216.618834788323,13,212
188,3343,2921,111.416666666667,-7.35000000000001,225.142307428631,217.079897428631,13,212
