,i,j,Lon,Lat,SL,UC,Code,Error
26582000,3201,2939,106.683333333333,-7.95,-96.7436807625172,-91.133605547845,13,212
26582001,3202,2939,106.716666666667,-7.95,-98.290111748948,-92.2664745598728,13,212
26582002,3203,2939,106.75,-7.95,-99.0305013191153,-92.8227317413783,13,212
26582003,3204,2939,106.783333333333,-7.95,-99.3081870605011,-92.9749244651484,13,212
26582004,3205,2939,106.816666666667,-7.95,-99.2788837947956,-92.6673690929842,13,212
26582005,3206,2939,106.85,-7.95,-98.6301625917685,-91.6508415116638,13,212
26582006,3207,2939,106.883333333333,-7.95,-97.1354548109247,-89.7428404116124,13,212
26582007,3208,2939,106.916666666667,-7.95,-94.9170011863491,-87.1253606407479,13,212
26582008,3209,2939,106.95,-7.95,-92.0483313739494,-84.1261792197046,13,212
26582009,3210,2939,106.983333333333,-7.95,-88.3965563759384,-80.7802359177601,13,212
26582010,3211,2939,107.016666666667,-7.95,-83.238118217107,-76.2267397584302,13,212
26582011,3212,2939,107.05,-7.95,-76.3717463261117,-70.0738820402738,13,212
26582012,3213,2939,107.083333333333,-7.95,-68.4806382081318,-62.9149662130326,13,212
26582013,3214,2939,107.116666666667,-7.95,-60.098792157588,-55.250254781152,13,212
26582014,3215,2939,107.15,-7.95,-50.8126388002384,-46.6716207379156,13,212
26582015,3216,2939,107.183333333333,-7.95,-42.0467929254878,-38.535234296439,13,212
26582016,3217,2939,107.216666666667,-7.95,-35.5674403250905,-32.5112143011289,13,212
26582017,3218,2939,107.25,-7.95,-33.0088704455604,-30.2352988372142,13,212
26582018,3219,2939,107.283333333333,-7.95,-35.6359290275161,-32.9733179340522,13,212
26582019,3220,2939,107.316666666667,-7.95,-42.4996129898772,-39.725963775621,13,212
26582020,3221,2939,107.35,-7.95,-51.5571909555936,-48.5020171745324,13,212
26582021,3222,2939,107.383333333333,-7.95,-60.0137001045734,-56.5478571953692,13,212
26582022,3223,2939,107.416666666667,-7.95,-65.5508423256359,-61.5698725372455,13,212
26582023,3224,2939,107.45,-7.95,-67.2469338380969,-62.7445433131621,13,212
26582024,3225,2939,107.483333333333,-7.95,-65.9255290683929,-60.9842565049412,13,212
26582025,3226,2939,107.516666666667,-7.95,-63.6517086903994,-58.4412921952079,13,212
26582026,3227,2939,107.55,-7.95,-62.6879285792308,-57.4955963375783,13,212
26582027,3228,2939,107.583333333333,-7.95,-67.119598990481,-62.3083799184582,13,212
26582028,3229,2939,107.616666666667,-7.95,-78.6709811524446,-74.4255500189635,13,212
26582029,3230,2939,107.65,-7.95,-94.5500143375423,-90.8698966900451,13,212
26582030,3231,2939,107.683333333333,-7.95,-112.924800133939,-109.728557934039,13,212
26582031,3232,2939,107.716666666667,-7.95,-130.59839512424,-127.831908002546,13,212
26582032,3233,2939,107.75,-7.95,-142.85395126748,-140.597378656573,13,212
26582033,3234,2939,107.783333333333,-7.95,-148.049038362681,-146.144884679667,13,212
26582034,3235,2939,107.816666666667,-7.95,-146.576831562258,-144.816935872613,13,212
26582035,3236,2939,107.85,-7.95,-140.650088125795,-139.020508315069,13,212
26582036,3237,2939,107.883333333333,-7.95,-129.678301523393,-128.153022861701,13,212
26582037,3238,2939,107.916666666667,-7.95,-112.786009884146,-111.327576802955,13,212
26582038,3239,2939,107.95,-7.95,-98.4392756462062,-97.0481276118194,13,212
26582039,3240,2939,107.983333333333,-7.95,-91.479364824508,-90.1815987828435,13,212
26582040,3241,2939,108.016666666667,-7.95,-84.3618851598335,-83.181453586092,13,212
26582041,3242,2939,108.05,-7.95,-72.5951828661415,-71.6485116564267,13,212
26582042,3243,2939,108.083333333333,-7.95,-61.3018653566286,-60.5316622870301,13,212
26582043,3244,2939,108.116666666667,-7.95,-54.2903760093337,-53.5472700402527,13,212
26582044,3245,2939,108.15,-7.95,-52.863236295142,-52.1146873825767,13,212
26582045,3246,2939,108.183333333333,-7.95,-56.7860658575411,-56.0365347717322,13,212
26582046,3247,2939,108.216666666667,-7.95,-63.8916594874474,-63.1886043048185,13,212
26582047,3248,2939,108.25,-7.95,-71.6301134152843,-70.9832841819293,13,212
